date,time,weight[g],accX,accY,accZ
2022-10-14,02:51:05:622,-1.6,-0.1,-0.0,1.0
2022-10-14,02:51:05:761,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:05:854,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:05:946,-1.3,-0.0,-0.0,1.0
2022-10-14,02:51:06:039,-1.6,-0.1,-0.0,1.0
2022-10-14,02:51:06:133,-1.8,-0.1,-0.0,1.0
2022-10-14,02:51:06:225,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:06:319,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:06:412,-1.3,-0.1,-0.0,1.0
2022-10-14,02:51:06:506,-1.5,-0.1,-0.0,1.0
2022-10-14,02:51:06:599,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:06:692,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:06:784,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:06:878,-1.3,-0.1,-0.0,1.0
2022-10-14,02:51:06:971,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:07:064,-1.5,-0.1,-0.0,1.0
2022-10-14,02:51:07:157,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:07:249,-1.5,-0.1,-0.0,1.0
2022-10-14,02:51:07:343,-1.3,-0.1,-0.0,1.0
2022-10-14,02:51:07:438,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:07:530,-1.4,-0.0,-0.0,1.0
2022-10-14,02:51:07:624,-1.5,-0.1,-0.0,1.0
2022-10-14,02:51:07:716,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:07:810,-1.4,-0.1,-0.0,1.0
2022-10-14,02:51:07:905,1.0,-0.0,-0.0,1.0
2022-10-14,02:51:07:999,1.7,-0.1,-0.0,1.0
2022-10-14,02:51:08:095,3.9,-0.1,-0.0,1.0
2022-10-14,02:51:08:188,7.4,-0.1,0.0,1.0
2022-10-14,02:51:08:280,5.9,-0.1,-0.0,1.0
2022-10-14,02:51:08:375,8.2,-0.1,-0.0,1.0
2022-10-14,02:51:08:468,14.1,-0.1,-0.0,1.0
2022-10-14,02:51:08:561,11.1,-0.1,-0.0,1.0
2022-10-14,02:51:08:654,20.5,-0.1,-0.0,1.0
2022-10-14,02:51:08:748,14.1,-0.0,-0.0,1.0
2022-10-14,02:51:08:841,25.2,-0.1,-0.0,1.0
2022-10-14,02:51:08:934,19.0,-0.1,-0.0,1.0
2022-10-14,02:51:09:028,31.1,-0.0,0.0,1.0
2022-10-14,02:51:09:123,23.9,-0.0,-0.0,1.0
2022-10-14,02:51:09:216,36.5,-0.1,-0.0,1.0
2022-10-14,02:51:09:311,29.4,-0.1,-0.0,1.0
2022-10-14,02:51:09:404,40.7,-0.0,-0.0,1.0
2022-10-14,02:51:09:498,36.0,-0.0,-0.0,1.0
2022-10-14,02:51:09:592,44.0,-0.0,-0.0,1.0
2022-10-14,02:51:09:685,42.5,-0.1,-0.0,1.0
2022-10-14,02:51:09:779,48.7,-0.1,-0.0,1.0
2022-10-14,02:51:09:871,54.0,-0.0,-0.0,1.0
2022-10-14,02:51:09:966,52.4,-0.0,-0.0,1.0
2022-10-14,02:51:10:059,61.1,-0.0,-0.0,1.0
2022-10-14,02:51:10:153,65.2,-0.1,-0.0,1.0
2022-10-14,02:51:10:245,66.6,-0.1,-0.0,1.0
2022-10-14,02:51:10:338,71.5,-0.1,-0.0,1.0
2022-10-14,02:51:10:432,76.6,-0.1,-0.0,1.0
2022-10-14,02:51:10:525,80.3,-0.1,-0.0,1.0
2022-10-14,02:51:10:619,82.8,-0.1,-0.0,1.0
2022-10-14,02:51:10:713,88.7,-0.0,-0.0,1.0
2022-10-14,02:51:10:808,91.4,-0.1,0.0,1.0
2022-10-14,02:51:10:901,94.2,-0.1,-0.0,1.0
2022-10-14,02:51:10:994,97.8,-0.0,-0.0,1.0
2022-10-14,02:51:11:088,100.7,-0.1,-0.0,1.0
2022-10-14,02:51:11:182,103.3,-0.1,-0.0,1.0
2022-10-14,02:51:11:274,106.0,-0.0,-0.0,1.0
2022-10-14,02:51:11:367,109.0,-0.1,-0.0,1.0
2022-10-14,02:51:11:462,110.8,-0.0,-0.0,1.0
2022-10-14,02:51:11:555,112.9,-0.1,-0.0,1.0
2022-10-14,02:51:11:649,115.5,-0.1,-0.0,1.0
2022-10-14,02:51:11:741,118.7,-0.1,-0.0,1.0
2022-10-14,02:51:11:834,120.8,-0.0,-0.0,1.0
2022-10-14,02:51:11:927,123.2,-0.1,0.0,1.0
2022-10-14,02:51:12:020,126.3,-0.1,-0.0,1.0
2022-10-14,02:51:12:112,129.7,-0.1,-0.0,1.0
2022-10-14,02:51:12:205,132.7,-0.1,-0.0,1.0
2022-10-14,02:51:12:299,135.3,-0.1,0.0,1.0
2022-10-14,02:51:12:393,159.9,-0.1,-0.0,1.0
2022-10-14,02:51:12:486,140.5,-0.1,-0.0,1.0
2022-10-14,02:51:12:579,142.1,-0.1,-0.0,1.0
2022-10-14,02:51:12:672,144.2,-0.1,-0.0,1.0
2022-10-14,02:51:12:764,145.6,-0.1,-0.0,1.1
2022-10-14,02:51:12:858,146.8,-0.1,0.0,0.9
2022-10-14,02:51:12:953,146.1,-0.1,0.0,1.0
2022-10-14,02:51:13:046,146.0,-0.0,-0.0,1.0
2022-10-14,02:51:13:140,201.1,-0.1,-0.0,1.0
2022-10-14,02:51:13:234,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:13:329,145.9,-0.1,-0.0,1.0
2022-10-14,02:51:13:423,146.0,-0.1,-0.0,1.0
2022-10-14,02:51:13:517,146.0,-0.1,-0.0,1.0
2022-10-14,02:51:13:610,146.0,-0.1,-0.0,1.0
2022-10-14,02:51:13:702,146.0,-0.1,-0.0,1.0
2022-10-14,02:51:13:796,145.9,-0.1,-0.0,1.0
2022-10-14,02:51:13:893,146.0,-0.0,-0.0,1.0
2022-10-14,02:51:13:984,146.0,-0.1,-0.0,1.0
2022-10-14,02:51:14:076,145.9,-0.1,-0.0,1.0
2022-10-14,02:51:14:171,145.9,-0.1,-0.0,1.0
2022-10-14,02:51:14:263,145.8,-0.1,-0.0,1.0
2022-10-14,02:51:14:356,145.9,-0.0,-0.0,1.1
2022-10-14,02:51:14:449,153.1,-0.1,-0.0,1.0
2022-10-14,02:51:14:542,144.4,-0.1,-0.0,1.0
2022-10-14,02:51:14:636,146.2,-0.1,0.0,1.0
2022-10-14,02:51:14:730,147.1,-0.0,-0.0,1.0
2022-10-14,02:51:14:824,146.1,-0.0,-0.0,1.0
2022-10-14,02:51:14:917,146.3,-0.1,-0.0,1.0
2022-10-14,02:51:15:011,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:104,146.2,-0.1,-0.0,1.0
2022-10-14,02:51:15:197,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:290,146.3,-0.1,-0.0,1.0
2022-10-14,02:51:15:383,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:478,146.2,-0.1,-0.0,1.0
2022-10-14,02:51:15:571,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:664,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:757,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:851,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:15:942,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:16:035,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:16:129,146.2,-0.1,-0.0,1.0
2022-10-14,02:51:16:222,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:16:316,146.2,-0.0,-0.0,1.0
2022-10-14,02:51:16:409,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:16:502,146.2,-0.1,-0.0,1.0
2022-10-14,02:51:16:595,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:16:687,146.1,-0.1,-0.0,1.0
2022-10-14,02:51:16:781,146.1,-0.1,-0.0,1.0
